run,type,module,name,attrname,attrvalue,value
General-87-20210826-18:27:03-10604,runattr,,,configname,General,
General-87-20210826-18:27:03-10604,runattr,,,datetime,20210826-18:27:03,
General-87-20210826-18:27:03-10604,runattr,,,experiment,General,
General-87-20210826-18:27:03-10604,runattr,,,inifile,omnetpp.ini,
General-87-20210826-18:27:03-10604,runattr,,,iterationvars,$xValues=1100000,
General-87-20210826-18:27:03-10604,runattr,,,iterationvarsf,xValues=1100000-,
General-87-20210826-18:27:03-10604,runattr,,,measurement,$xValues=1100000,
General-87-20210826-18:27:03-10604,runattr,,,network,traceBasedRadioModel,
General-87-20210826-18:27:03-10604,runattr,,,processid,10604,
General-87-20210826-18:27:03-10604,runattr,,,repetition,7,
General-87-20210826-18:27:03-10604,runattr,,,replication,#7,
General-87-20210826-18:27:03-10604,runattr,,,resultdir,results,
General-87-20210826-18:27:03-10604,runattr,,,runnumber,87,
General-87-20210826-18:27:03-10604,runattr,,,seedset,87,
General-87-20210826-18:27:03-10604,itervar,,,xValues,1100000,
General-87-20210826-18:27:03-10604,param,,,*.numHosts,2,
General-87-20210826-18:27:03-10604,param,,,*.host[*].ipv4.arp.typename,"""GlobalArp""",
General-87-20210826-18:27:03-10604,param,,,*.host[*].numApps,1,
General-87-20210826-18:27:03-10604,param,,,*.host[0].app[0].typename,"""UdpBasicApp""",
General-87-20210826-18:27:03-10604,param,,,*.host[0].app[0].destAddresses,"""host[1]""",
General-87-20210826-18:27:03-10604,param,,,*.host[0].app[0].destPort,5000,
General-87-20210826-18:27:03-10604,param,,,*.host[0].app[0].messageLength,100B,
General-87-20210826-18:27:03-10604,param,,,*.host[0].app[0].sendInterval,1s,
General-87-20210826-18:27:03-10604,param,,,*.host[0].app[0].packetName,"""UDPData""",
General-87-20210826-18:27:03-10604,param,,,*.host[0].app[0].startTime,0s,
General-87-20210826-18:27:03-10604,param,,,*.host[0].app[0].stopTime,10000s,
General-87-20210826-18:27:03-10604,param,,,*.host[1].app[0].typename,"""UdpSink""",
General-87-20210826-18:27:03-10604,param,,,*.host[1].app[0].localPort,5000,
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].typename,"""WirelessInterface""",
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].radio.typename,"""TraceBasedRadio""",
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].mac.typename,"""AckingMac""",
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].mac.useAck,false,
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].mac.fullDuplex,false,
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].mac.headerLength,23B,
General-87-20210826-18:27:03-10604,param,,,*.host[*].**.bitrate,10 Mbps,
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].radio.transmitter.communicationRange,1922070m,
General-87-20210826-18:27:03-10604,param,,,*.host[0].wlan[0].radio.displayCommunicationRange,true,
General-87-20210826-18:27:03-10604,param,,,*.*host[*].mobility.typename,"""StationaryMobility""",
General-87-20210826-18:27:03-10604,param,,,*.host[*].mobility.initFromDisplayString,false,
General-87-20210826-18:27:03-10604,param,,,*.host[0].mobility.initialX,1100000m,
General-87-20210826-18:27:03-10604,param,,,*.host[0].mobility.initialY,0m,
General-87-20210826-18:27:03-10604,param,,,*.host[0].mobility.initialZ,30000m,
General-87-20210826-18:27:03-10604,param,,,*.host[1].mobility.initialX,0m,
General-87-20210826-18:27:03-10604,param,,,*.host[1].mobility.initialY,0m,
General-87-20210826-18:27:03-10604,param,,,*.host[1].mobility.initialZ,30000m,
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].radio.receiver.ignoreInterference,true,
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].radio.transmitter.interferenceRange,1932000m,
General-87-20210826-18:27:03-10604,param,,,*.host[0].wlan[0].radio.displayInterferenceRange,true,
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].radio.receiver.Receiver_bandwidth_in_KHz,500,
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].radio.receiver.Tx_power,44,
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].radio.receiver.Tx_antenna_gain,2,
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].radio.receiver.Rx_antenna_gain,2,
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].radio.receiver.Tx_loss,4,
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].radio.receiver.Rx_loss,4,
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].radio.receiver.Noise_figure,6,
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].radio.receiver.Thermal_noise_density,-174,
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].radio.receiver.frequency,960,
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].radio.receiver.SNR_margin,0,
General-87-20210826-18:27:03-10604,param,,,*.host[*].wlan[0].radio.receiver.errorModel.TraceFileName,"""per_snr.txt""",
General-81-20210826-18:27:00-1108,runattr,,,configname,General,
General-81-20210826-18:27:00-1108,runattr,,,datetime,20210826-18:27:00,
General-81-20210826-18:27:00-1108,runattr,,,experiment,General,
General-81-20210826-18:27:00-1108,runattr,,,inifile,omnetpp.ini,
General-81-20210826-18:27:00-1108,runattr,,,iterationvars,$xValues=1100000,
General-81-20210826-18:27:00-1108,runattr,,,iterationvarsf,xValues=1100000-,
General-81-20210826-18:27:00-1108,runattr,,,measurement,$xValues=1100000,
General-81-20210826-18:27:00-1108,runattr,,,network,traceBasedRadioModel,
General-81-20210826-18:27:00-1108,runattr,,,processid,1108,
General-81-20210826-18:27:00-1108,runattr,,,repetition,1,
General-81-20210826-18:27:00-1108,runattr,,,replication,#1,
General-81-20210826-18:27:00-1108,runattr,,,resultdir,results,
General-81-20210826-18:27:00-1108,runattr,,,runnumber,81,
General-81-20210826-18:27:00-1108,runattr,,,seedset,81,
General-81-20210826-18:27:00-1108,itervar,,,xValues,1100000,
General-81-20210826-18:27:00-1108,param,,,*.numHosts,2,
General-81-20210826-18:27:00-1108,param,,,*.host[*].ipv4.arp.typename,"""GlobalArp""",
General-81-20210826-18:27:00-1108,param,,,*.host[*].numApps,1,
General-81-20210826-18:27:00-1108,param,,,*.host[0].app[0].typename,"""UdpBasicApp""",
General-81-20210826-18:27:00-1108,param,,,*.host[0].app[0].destAddresses,"""host[1]""",
General-81-20210826-18:27:00-1108,param,,,*.host[0].app[0].destPort,5000,
General-81-20210826-18:27:00-1108,param,,,*.host[0].app[0].messageLength,100B,
General-81-20210826-18:27:00-1108,param,,,*.host[0].app[0].sendInterval,1s,
General-81-20210826-18:27:00-1108,param,,,*.host[0].app[0].packetName,"""UDPData""",
General-81-20210826-18:27:00-1108,param,,,*.host[0].app[0].startTime,0s,
General-81-20210826-18:27:00-1108,param,,,*.host[0].app[0].stopTime,10000s,
General-81-20210826-18:27:00-1108,param,,,*.host[1].app[0].typename,"""UdpSink""",
General-81-20210826-18:27:00-1108,param,,,*.host[1].app[0].localPort,5000,
General-81-20210826-18:27:00-1108,param,,,*.host[*].wlan[0].typename,"""WirelessInterface""",
